year,period_id,entity_id,scope,layer,theory_family_id,raw_score,normalized_score,confidence_label,derivation_status
1922,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1923,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1924,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1925,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1926,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1927,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1928,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1929,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1930,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1931,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1932,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1933,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1934,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1935,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1936,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1937,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1938,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1939,1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,high,derived_constant
1939,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1940,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1941,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1942,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1943,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1944,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1945,1939_1945,global_system,global,synthesis,realism,91.65,31.9171,very_high,derived_constant
1939,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1940,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1941,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1942,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1943,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1944,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1945,1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,high,derived_constant
1939,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1940,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1941,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1942,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1943,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1944,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1945,1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,high,derived_constant
1939,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1940,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1941,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1942,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1943,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1944,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1945,1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,very_high,derived_constant
1945,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1946,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1947,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1948,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1949,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1950,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1951,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1952,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1953,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1954,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1955,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1956,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1957,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1958,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1959,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1960,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1961,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1962,1945_1962,global_system,global,synthesis,realism,90.4,29.6929,very_high,derived_constant
1945,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1946,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1947,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1948,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1949,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1950,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1951,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1952,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1953,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1954,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1955,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1956,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1957,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1958,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1959,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1960,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1961,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1962,1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,high,derived_constant
1945,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1946,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1947,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1948,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1949,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1950,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1951,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1952,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1953,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1954,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1955,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1956,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1957,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1958,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1959,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1960,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1961,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1962,1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,high,derived_constant
1945,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1946,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1947,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1948,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1949,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1950,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1951,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1952,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1953,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1954,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
