period_id,theory_family,strategic_reality,political_doctrine,academic_influence,default_synthesis,normalized_default,note
1815_1848,realism,81.25,77.25,rejete,,,academique rejetee (anachronisme ; emergence academique vers 1939) ; pas de synthese pour cette periode
1815_1848,liberalism,29.25,27.25,rejete,,,academique rejetee (anachronisme ; emergence academique vers 1919) ; pas de synthese pour cette periode
1815_1848,marxism_dependency_structuralism,13.25,rejete,rejete,,,doctrine et academique rejetees (anachronisme ; emergence academique vers 1902) ; pas de synthese pour cette periode
1815_1848,constructivism,37.25,rejete,rejete,,,doctrine et academique rejetees (anachronisme ; emergence academique vers 1989) ; pas de synthese pour cette periode
1815_1848,english_school,57.25,rejete,rejete,,,doctrine et academique rejetees (anachronisme ; emergence academique vers 1959) ; pas de synthese pour cette periode
1815_1848,critical_postcolonial_feminist,21.85,rejete,rejete,,,doctrine et academique rejetees (anachronisme ; emergence academique vers 1978) ; pas de synthese pour cette periode
1815_1848,geopolitics_imperialism_reason_of_state,79.25,75.25,rejete,,,academique rejetee (anachronisme ; emergence academique vers 1890) ; pas de synthese pour cette periode
