period_id,theory_family,strategic_reality,political_doctrine,academic_influence,default_synthesis,normalized_default,note
1991_2001,liberalism,89.25,93.25,87.25,89.95,19.31,
1991_2001,constructivism,71.25,77.25,89.25,75.45,16.2,
1991_2001,realism,74.25,64.25,81.25,72.8,15.63,
1991_2001,english_school,67.25,71.25,69.25,68.55,14.71,
1991_2001,critical_postcolonial_feminist,57.25,54.25,77.25,59.5,12.77,
1991_2001,geopolitics_imperialism_reason_of_state,54.25,47.25,49.25,51.75,11.11,
1991_2001,marxism_dependency_structuralism,47.25,41.25,61.25,47.85,10.27,
